Company_ID,Company_Name,Industry_Type,Company_Size,Ownership_Type,Internship_ID,Role_Title,Sector,Mode,Start_Date,Application_Deadline,Skills_Required,Education_Required,Minimum_CGPA_Percentage,Total_Slots,City,State_UT,Location_Type,Preferred_Applicants_From,Internship_Status,Date_Posted,Description
111,POWER GRID CORPORATION OF INDIA LIMITED,Power,PSU,PSU,I011,Product Management Intern,Education,Remote,14-11-2025,04-11-2025,classroom management; communication; lesson planning; maintenance; problem solving; safety; teaching; time management,UG,,11,Kochi,Kerala,Rural,Local State,Open,23-08-2025,"Power Grid Corporation offers a Product Management internship in the education sector. Candidates should have classroom management experience, strong communication skills, and lesson planning abilities. Maintenance knowledge, problem-solving expertise, safety awareness, and teaching skills are required. Excellent time management is essential. This role provides exposure to educational product development, learning management systems, and digital education solutions. Perfect for students interested in EdTech, power sector education, and product innovation."
112,TATA SONS PRIVATE LIMITED,IT,Large Enterprise,PSU,I012,Project Management Intern,Banking,Hybrid,26-11-2025,18-11-2025,communication; javascript; react; writing,UG,,7,Chandigarh,Punjab,Tier-2,Local State,Open,12-09-2025,"Tata Sons presents a Project Management internship in the banking sector. Candidates should have strong communication skills, JavaScript programming knowledge, and React framework experience. Excellent writing abilities are required. This role offers hands-on experience in banking project coordination, fintech development, and client relationship management. Perfect for students interested in banking technology, project management methodologies, and digital transformation in financial services. Hybrid work model with exposure to Tata Group's diverse business portfolio."
113,WIPRO LIMITED,IT,Large Enterprise,Private,I013,Quality Assurance Intern,Finance,Onsite,12-12-2025,04-12-2025,accounting; audit; excel; presentation; python; time management; writing,UG,9.0,12,Mumbai,Maharashtra,Tier-2,Local State,Open,17-08-2025,"Wipro offers a Quality Assurance internship in the finance sector. Candidates should have strong accounting knowledge, audit experience, and advanced Excel skills. Presentation abilities, Python programming knowledge, and excellent time management are required. Strong writing skills are essential. This role provides hands-on experience in financial software testing, compliance verification, and quality control processes. Perfect for students interested in fintech, software testing, and financial technology solutions. Onsite opportunity with exposure to Wipro's global IT services."
114,HCL TECHNOLOGIES LIMITED,IT,Large Enterprise,Private,I014,Sales Intern,Electrical,Remote,10-11-2025,27-10-2025,html; react; sql; time management; writing,PG,,12,Bhopal,Madhya Pradesh,Aspirational district,Rural Only,Open,04-09-2025,"HCL Technologies presents a Sales Intern opportunity in the electrical sector. Candidates should have HTML web development skills, React framework knowledge, and SQL database expertise. Strong time management and writing abilities are required. This role offers exposure to electrical equipment sales, technical sales support, and client relationship management. Perfect for postgraduate students interested in B2B sales, electrical engineering applications, and technology solutions. Remote work opportunity with exposure to HCL's global technology services."
115,HINDUSTAN ZINC LIMITED,Manufacturing,Large Enterprise,Private,I015,Software Development Intern,Logistics,Onsite,25-10-2025,17-10-2025,cad; cnc; inventory; ms excel; problem solving; procurement; routing; six sigma,Diploma,8.0,12,Noida,Uttar Pradesh,Rural,Local State,Open,17-08-2025,"Hindustan Zinc offers a Software Development internship in the logistics sector. Candidates should have CAD design skills, CNC programming knowledge, and inventory management experience. Advanced Excel skills, problem-solving abilities, procurement understanding, routing expertise, and Six Sigma knowledge are required. This role provides hands-on experience in logistics software development, supply chain optimization, and manufacturing technology solutions. Perfect for students interested in industrial software, logistics technology, and manufacturing automation."
116,RELIANCE JIO INFOCOMM LIMITED,Telecom,Large Enterprise,Private,I016,Cloud Computing Intern,Telecom,Remote,30-10-2025,17-10-2025,networking; presentation; problem solving; teamwork; time management,Diploma,63%,12,Delhi,Delhi,Tier-2,Rural Only,Open,06-09-2025,"Reliance Jio presents an exciting Cloud Computing internship in the telecom sector. Candidates should have networking knowledge, strong presentation skills, and excellent problem-solving abilities. Teamwork and time management skills are essential. This role offers hands-on experience in cloud infrastructure, telecom cloud services, and network virtualization. Perfect for students interested in 5G technology, cloud architecture, and telecommunications innovation. Remote work opportunity with exposure to India's leading telecom infrastructure."
117,MAHANADI COALFIELDS LIMITED,Coal,PSU,PSU,I017,Quality Assurance Intern,Healthcare,Remote,18-10-2025,08-10-2025,documentation; operations; problem solving; record keeping; safety; writing,Diploma,9.3,12,Chennai,Tamil Nadu,Tier-2,Local State,Open,16-08-2025,"Mahanadi Coalfields offers a Quality Assurance internship in the healthcare sector. Candidates should have strong documentation skills, operations knowledge, and problem-solving expertise. Record keeping abilities, safety awareness, and excellent writing skills are required. This role provides exposure to healthcare quality standards, medical equipment validation, and compliance processes. Perfect for students interested in healthcare quality management, medical device testing, and safety protocols. Remote work opportunity with exposure to PSU healthcare initiatives."
118,TECH MAHINDRA LIMITED,IT,Large Enterprise,Private,I018,Marketing Intern,Telecom,Hybrid,31-10-2025,20-10-2025,css; fiber splicing; git; html; presentation; react; sql; testing,Diploma,61%,12,Bengaluru,Karnataka,Rural,Any,Open,09-09-2025,"Tech Mahindra offers a Marketing Intern opportunity in the telecom sector. Candidates should have CSS styling skills, fiber splicing knowledge, and Git version control experience. HTML web development, presentation abilities, React framework knowledge, SQL database skills, and testing expertise are required. This role provides hands-on experience in telecom marketing, network technology promotion, and digital marketing strategies. Perfect for students interested in telecom marketing, network infrastructure, and technology communication. Hybrid work model in India's IT capital."
119,HINDUSTAN UNILEVER LIMITED,FMCG,Large Enterprise,PSU,I019,HR Intern,Telecom,Remote,28-11-2025,15-11-2025,fiber splicing; operations; presentation; quality control; rf planning; teamwork; time management; troubleshooting,UG,7.3,12,Mumbai,Maharashtra,Rural,Any,Open,27-08-2025,"Hindustan Unilever presents an HR Intern opportunity in the telecom sector. Candidates should have fiber splicing knowledge, operations understanding, and strong presentation skills. Quality control awareness, RF planning expertise, teamwork abilities, time management skills, and troubleshooting capabilities are required. This role offers exposure to HR processes in telecom operations, talent acquisition, and employee engagement strategies. Perfect for students interested in HR management, telecom industry operations, and people management. Remote work opportunity with exposure to FMCG giant's HR practices."
120,AXIS BANK LIMITED,Banking,Large Enterprise,Private,I020,Cloud Computing Intern,Education,Hybrid,05-11-2025,23-10-2025,assessment; audit; classroom management; content creation; excel; presentation; teamwork; writing,PG,8.3,12,Ahmedabad,Gujarat,Rural,Any,Open,10-09-2025,"Axis Bank offers a Cloud Computing internship in the education sector. Candidates should have assessment skills, audit knowledge, and classroom management experience. Content creation abilities, advanced Excel skills, presentation expertise, teamwork capabilities, and strong writing skills are required. This role provides hands-on experience in educational cloud platforms, learning management systems, and digital education infrastructure. Perfect for postgraduate students interested in EdTech, cloud architecture, and educational technology solutions. Hybrid work model with exposure to banking sector education initiatives."
