Applicant_ID,Sector_Preferences,Skills,Location_Preference,CGPA_or_Percentage_Normalized,Past_Participation_Encoded,Willingness_to_Relocate_Encoded,Preferred_Industry_Type_Corporate,Preferred_Industry_Type_MSME,Preferred_Industry_Type_PSU,Preferred_Industry_Type_Startup,Internship_Mode_Hybrid,Internship_Mode_In-person,Internship_Mode_Remote,Education_Level_Encoded
1017,Manufacturing; Education,classroom management; cnc; field work; lesson planning; six sigma; teaching; time management; writing,Gaya,0.7895,1,1,0,1,0,0,1,0,0,2
1018,Logistics; Manufacturing; Telecom,cad; inventory; market research; procurement; rf planning; supply chain; writing,Jodhpur,0.7684,0,0,0,0,0,1,0,0,1,0
1019,Software; Automotive; Manufacturing; Railway,cad; docker; drafting; operations; problem solving; quality checks,Cuttack,0.5368,0,0,0,0,1,0,0,0,1,1
1020,Manufacturing; Software; Railway; Banking,algorithms; communication; documentation; operations,Hyderabad,0.8105,0,0,0,0,0,1,0,0,1,1
1021,Banking; Automotive; Healthcare; Education,cad; lab techniques; quality checks; teaching,Pune,0.5880,1,0,0,0,0,1,0,0,1,2
1022,Finance; Logistics; Energy,audit; communication; documentation; ms excel; safety; tally; teamwork; warehouse ops,Noida,0.4737,0,1,0,0,1,0,0,1,0,2
1023,Telecom; Education; Finance; E-commerce,communication; figma; marketplace ops; tally; troubleshooting; writing,Patna,0.7474,0,0,0,0,1,0,0,0,1,2
1024,Education; Healthcare; Logistics,biostatistics; classroom management; first aid; lab techniques; patient care,Indore,1.0000,0,1,0,1,0,0,1,0,0,1
1025,IT; Software,algorithms; html; java; javascript; teamwork,Hyderabad,0.5460,0,1,1,0,0,0,1,0,0,3
1026,E-commerce; Healthcare,communication; customer support; first aid; lab techniques; patient care; presentation; time management; writing,Kochi,0.5140,0,1,0,1,0,0,0,1,0,0
1027,Software; Automotive,algorithms; api design; communication; data structures; oop; reporting; teamwork; writing,Indore,0.5540,0,0,0,0,1,0,0,0,1,1
1028,Telecom; Software; Railway,api design; communication; data structures; fiber splicing; lesson planning; problem solving; writing,Mumbai,0.6842,0,1,0,0,0,1,0,0,1,2
1029,Logistics; Software; Healthcare,ms excel; presentation; problem solving; procurement; warehouse ops,Siliguri,0.5620,0,1,1,0,0,0,0,0,1,1
1030,Telecom; Healthcare,problem solving; record keeping; rf planning; teamwork; troubleshooting,Thiruvananthapuram,0.5720,0,0,1,0,0,0,0,1,0,1
1031,Telecom; Finance; Manufacturing,audit; excel; gst; lean; problem solving; supply chain; teamwork,Cuttack,0.8280,1,1,1,0,0,0,0,1,0,3
1032,Software; Education; IT,accounting; css; data structures; git; oop; problem solving; react; sql,Coimbatore,0.3380,1,1,0,1,0,0,0,0,1,1
1033,Automotive; Energy; Electrical,cad; power systems; problem solving; writing,Hyderabad,0.3280,0,0,1,0,0,0,0,1,0,1
1034,Telecom; IT; Education; Energy,java; linux; power systems; rf planning; teaching; time management,Kochi,0.3460,1,1,1,0,0,0,0,1,0,1
1035,Telecom; Automotive; Logistics; Education,cad; content creation; time management; troubleshooting,Thiruvananthapuram,0.2540,0,1,0,0,1,0,0,1,0,2
1036,Banking; Manufacturing,accounting; cad; cnc; customer service; six sigma,Bengaluru,0.9158,0,1,1,0,0,0,1,0,0,1
1037,Education; Banking,assessment; content creation; design basics; time management,Gurugram,0.3780,0,0,0,0,0,1,1,0,0,3
1038,Software; Banking; Manufacturing,api design; cad; cam; excel,Lucknow,0.5579,0,0,0,1,0,0,0,0,1,2
1039,Finance; Software,communication; docker; excel; market research; presentation; problem solving; teamwork,Kochi,0.9480,0,1,1,0,0,0,0,0,1,2
1040,Manufacturing; Electrical,presentation; problem solving; six sigma; supply chain; writing,Ludhiana,0.1579,0,1,0,0,1,0,0,0,1,3
1041,Healthcare; Software; Energy; Education,biostatistics; lesson planning; presentation; problem solving; time management; writing,Jaipur,0.6400,1,0,1,0,0,0,0,1,0,3
1042,Energy; Banking; Finance; Logistics,audit; financial modeling; power systems; procurement; warehouse ops; writing,Jodhpur,0.6000,0,1,0,0,0,1,0,1,0,3
1043,Automotive; Railway; Energy,accounting; presentation; problem solving; safety; signal systems; supply chain,Jaipur,0.6000,0,0,0,0,0,1,0,1,0,3
1044,Telecom; Manufacturing,cad; cnc; communication; problem solving; quality control; six sigma; writing,Indore,0.9320,0,1,0,0,1,0,0,0,1,3
1045,Finance; Railway,design basics; operations; presentation; problem solving,Ludhiana,0.6000,0,0,0,0,0,1,0,0,1,1
1046,Energy; Telecom; Electrical; Healthcare,lab safety; maintenance; patient care; writing,Chandigarh,0.0860,0,0,0,0,1,0,0,0,1,3
1047,Finance; IT; Software; Education,accounting; css; docker; excel; git; tally; teamwork,Ludhiana,0.2000,0,1,0,0,1,0,0,0,1,1
1048,Energy; Education; Finance,assessment; documentation; gst; safety; teamwork; writing,Bengaluru,0.4737,1,1,0,0,1,0,0,0,1,3
1049,IT; E-commerce,cataloging; communication; customer support; git; java; marketplace ops; order management,Pune,0.9420,1,1,0,0,0,1,0,1,0,0
1050,Banking; Energy,accounting; audit; gmp; time management,Siliguri,0.8400,0,0,0,0,0,1,1,0,0,2
1051,Healthcare; Software; Telecom,networking; time management; troubleshooting; writing,Gaya,0.6880,1,1,1,0,0,0,0,0,1,3
1052,Automotive; Electrical; Energy,assembly; circuit analysis; presentation; quality checks,Noida,1.0000,1,0,0,0,1,0,0,0,1,1
1053,E-commerce; Logistics; Banking; Automotive,assembly; cataloging; customer service; ms excel; warehouse ops,Faridabad,0.0600,1,0,1,0,0,0,1,0,0,4
1054,Automotive; Manufacturing; Education; Healthcare,biostatistics; cnc; lesson planning; patient care; presentation; problem solving; six sigma; time management,Kochi,0.5789,0,0,0,1,0,0,0,0,1,1
1055,Healthcare; Automotive; Banking,content writing; design basics; first aid; lab techniques; patient care; presentation,Vadodara,0.3860,1,1,0,0,1,0,0,1,0,3
1056,Logistics; Healthcare; Electrical; Manufacturing,cam; first aid; lean; qc; routing; time management,Warangal,0.7360,0,1,0,0,1,0,0,1,0,1
1057,Telecom; Software,data structures; lab techniques; problem solving; writing,Gurugram,0.7740,0,1,1,0,0,0,1,0,0,0
1058,Automotive; Logistics,communication; procurement; vehicle diagnostics; warehouse ops,Nagpur,0.9158,0,1,0,1,0,0,0,0,1,0
1059,Manufacturing; Software; Energy; Healthcare,cad; cam; cnc; lean; problem solving; statistics; writing,Cuttack,0.6760,0,0,0,1,0,0,0,0,1,3
1060,Manufacturing; Energy,cam; cnc; lean; problem solving; research; six sigma; supply chain,Bhopal,0.7260,1,1,0,1,0,0,0,1,0,3
1061,Telecom; Software,algorithms; data structures; fiber splicing; legal research; presentation; teamwork; troubleshooting,Jodhpur,0.0947,0,0,1,0,0,0,0,0,1,2
1062,Telecom; Logistics; Electrical; Railway,inventory; maintenance; time management; troubleshooting,Kanpur,0.6720,0,0,1,0,0,0,1,0,0,3
1063,Healthcare; Banking; E-commerce,assessment; cataloging; first aid; teaching; teamwork,New Delhi,0.5880,1,1,0,0,1,0,1,0,0,3
1064,Manufacturing; Banking; Healthcare; Logistics,cad; lab techniques; qc; supply chain; teamwork,Mangaluru,0.2000,0,1,0,0,0,1,0,1,0,3
1065,Electrical; Automotive,circuit analysis; communication; vehicle diagnostics; writing,Bengaluru,0.0860,0,1,0,0,0,1,1,0,0,1
1066,Automotive; Telecom,cad; fiber splicing; ms excel; networking; quality checks; reporting; writing,Vadodara,0.6600,0,1,0,0,1,0,0,0,1,1
1067,Energy; Software; Railway; Finance,documentation; power systems; signal systems; teamwork,Faridabad,0.1600,0,1,0,0,0,1,1,0,0,3
1068,Railway; E-commerce; Energy; Automotive,maintenance; quality checks; reporting; teamwork,Hyderabad,0.1620,0,1,0,1,0,0,0,0,1,3
1069,Healthcare; Electrical; Finance,accounting; biostatistics; embedded; financial modeling; patient care; presentation; record keeping; teaching,Warangal,0.7474,0,0,1,0,0,0,1,0,0,3
1070,IT; Telecom; Railway; Energy,adobe xd; git; power systems; presentation; safety,Siliguri,0.9579,0,1,0,0,0,1,0,1,0,3
1071,Energy; Software,communication; data structures; oop; safety,Lucknow,0.5580,0,0,0,0,0,1,1,0,0,1
1072,Finance; Healthcare; Logistics,audit; design basics; lab techniques; ms excel; problem solving; procurement; record keeping,Coimbatore,0.0780,1,1,0,0,0,1,0,0,1,1
1073,Manufacturing; Finance; Telecom; Software,accounting; audit; fiber splicing; gst; problem solving; rf planning,Bhopal,0.0100,0,0,0,1,0,0,0,0,1,1
1074,Logistics; Energy; Manufacturing,documentation; lean; ms excel; problem solving; six sigma; warehouse ops; writing,Udaipur,0.8540,0,0,0,1,0,0,0,0,1,4
1075,Banking; Railway; Education,customer service; excel; financial modeling; operations; safety; teamwork; time management; writing,Ludhiana,0.6842,0,1,0,0,0,1,0,0,1,2
1076,Logistics; Automotive,cad; operations; procurement; reporting; routing; teamwork,Nagpur,0.8960,0,1,0,1,0,0,1,0,0,0
1077,Finance; Education; E-commerce; Healthcare,audit; biostatistics; cataloging; content creation; customer support; gst; lab techniques; lesson planning,Madurai,0.5580,1,1,1,0,0,0,0,1,0,1
1078,Banking; Software; Telecom,api design; audit; data structures; docker; rf planning; teamwork,Gurugram,0.3895,0,0,0,0,1,0,0,0,1,2
1079,Banking; Software,accounting; api design; audit; data structures; time management; ui principles,Bhopal,0.3895,0,1,0,0,1,0,0,0,1,1
1080,Railway; Electrical,documentation; pharmacology; qc; time management,Gwalior,0.5240,1,1,1,0,0,0,1,0,0,3
1081,Education; Telecom; Logistics,assessment; presentation; teamwork; warehouse ops; writing,Pune,0.7280,0,0,0,0,0,1,0,0,1,1
1082,Railway; Automotive; Healthcare,communication; lab techniques; matlab; problem solving; signal systems,Bhubaneswar,0.3520,0,0,0,1,0,0,0,0,1,3
1083,Finance; Telecom; Automotive; Software,accounting; algorithms; data structures; financial modeling; teamwork,Ludhiana,0.1840,0,1,0,0,1,0,0,0,1,1
1084,Energy; E-commerce,cataloging; documentation; marketplace ops; operations; power systems; problem solving; teamwork,Noida,0.3040,0,0,0,1,0,0,1,0,0,1
1085,Logistics; Education; IT; Healthcare,biostatistics; classroom management; communication; css; lab techniques; problem solving; python; testing,Patna,0.4980,0,0,0,0,1,0,0,0,1,3
1086,IT; Manufacturing,cad; cam; git; lean; linux; problem solving; six sigma; writing,Gaya,0.3895,0,0,0,1,0,0,0,0,1,1
1087,Banking; Energy,audit; customer service; figma; power systems; problem solving; teamwork; time management,Chennai,0.5780,0,0,0,0,0,1,1,0,0,1
1088,Logistics; Manufacturing; Education; Banking,audit; content creation; customer service; problem solving; time management,Kolkata,0.4526,1,1,0,0,0,1,0,0,1,3
1089,Railway; Telecom,documentation; drafting; networking; operations; presentation; safety; signal systems,Jodhpur,0.7000,1,0,1,0,0,0,1,0,0,1
1090,Telecom; Software; Manufacturing,algorithms; api design; lesson planning; rf planning; time management; writing,Warangal,0.2421,0,1,0,1,0,0,0,1,0,3
1091,E-commerce; Software; IT; Telecom,customer support; git; oop; time management,Cuttack,0.6632,0,1,1,0,0,0,0,1,0,2
1092,Software; Energy; Healthcare,biostatistics; data structures; maintenance; soil testing,Coimbatore,0.4840,0,0,0,0,1,0,0,0,1,3
1093,Logistics; Software,adobe xd; api design; communication; routing,Patna,0.6211,0,1,0,0,1,0,0,1,0,1
1094,Energy; Railway; Education; E-commerce,assessment; cataloging; content creation; documentation; power systems; presentation; teaching; writing,Ludhiana,0.0620,0,1,0,0,1,0,0,1,0,1
1095,Energy; Logistics,communication; problem solving; warehouse ops; writing,Bhubaneswar,0.6960,0,1,0,0,1,0,0,1,0,4
1096,Electrical; Healthcare,biostatistics; circuit analysis; communication; embedded; first aid; patient care; problem solving; soldering,Jodhpur,0.8360,1,1,0,1,0,0,1,0,0,3
1097,IT; Manufacturing; Telecom,cnc; communication; git; javascript; networking; quality control; statistics; supply chain,New Delhi,0.1120,0,1,1,0,0,0,0,0,1,3
1098,Education; Software,algorithms; api design; data structures; docker; lesson planning; problem solving; time management,Kozhikode,0.2632,1,0,0,0,1,0,0,1,0,2
1099,Software; Finance; E-commerce,audit; cataloging; customer support; data analysis; excel; oop; presentation; time management,Ludhiana,0.2700,0,1,0,0,1,0,0,0,1,2
1100,Railway; E-commerce; Software,communication; customer support; lesson planning; order management; safety; signal systems; teaching; time management,New Delhi,0.4160,0,1,0,1,0,0,0,1,0,2
1101,Software; Telecom; Manufacturing,accounting; data structures; lean; market research; oop; six sigma,Kolkata,0.4737,0,1,0,1,0,0,0,1,0,3
1102,Automotive; Electrical; Railway,embedded; pcb design; presentation; quality checks; signal systems,Coimbatore,0.6000,0,0,0,0,0,1,0,0,1,1
1103,Education; Energy; Automotive; Healthcare,documentation; first aid; statistics; time management; vehicle diagnostics; writing,Jodhpur,0.0580,0,1,0,1,0,0,1,0,0,2
1104,IT; Education; Manufacturing,assessment; cad; cam; git; react; statistics,Jaipur,0.8140,0,0,0,1,0,0,0,0,1,1
1105,Manufacturing; Software,content writing; data structures; docker; problem solving; six sigma; supply chain; teamwork,Bhubaneswar,0.3540,0,1,0,0,1,0,0,1,0,2
1106,Railway; E-commerce,gmp; marketplace ops; operations; order management; presentation; qc; signal systems; teamwork,Coimbatore,0.7263,1,1,0,0,0,1,0,1,0,3
1107,Software; IT; Automotive,cad; drafting; git; vehicle diagnostics,Mangaluru,0.4316,1,1,0,0,1,0,0,0,1,2
1108,Railway; Automotive; Logistics,assembly; inventory; maintenance; safety; signal systems; soil testing; vehicle diagnostics; writing,Kolkata,0.1579,0,0,1,0,0,0,0,0,1,3
1109,Software; Automotive; Energy,assembly; basic life support; documentation; problem solving; quality checks; supply chain; time management; writing,Pune,0.1360,0,1,0,0,0,1,1,0,0,3
1110,Electrical; Banking; Manufacturing,excel; pcb design; six sigma; time management; writing,Mysuru,0.9368,0,1,0,0,0,1,1,0,0,3
1111,Railway; Software,api design; figma; signal systems; ui principles,Kochi,0.9158,0,0,1,0,0,0,0,0,1,1
1112,Manufacturing; Banking; Logistics,accounting; audit; excel; lean; procurement; six sigma; supply chain; teamwork,Mysuru,0.4500,1,1,0,1,0,0,0,0,1,1
1113,Logistics; Finance; Energy; Telecom,excel; inventory; teaching; troubleshooting; warehouse ops,Gwalior,0.6421,0,0,0,0,1,0,0,0,1,2
1114,IT; Education,content creation; javascript; problem solving; react; writing,Coimbatore,0.8640,0,0,0,0,0,1,0,0,1,1
1115,Software; Electrical; E-commerce,algorithms; api design; communication; marketplace ops; oop,Lucknow,0.4526,0,0,0,0,1,0,0,0,1,1
1116,Healthcare; Finance; Railway,documentation; excel; patient care; research,Kanpur,0.0140,1,1,1,0,0,0,0,0,1,3
1117,Telecom; Software; Finance; Healthcare,audit; biostatistics; communication; lab safety; patient care,Mangaluru,0.4380,1,0,0,0,0,1,0,1,0,1
1118,Banking; Manufacturing; Healthcare; Automotive,accounting; communication; customer service; design basics; lean; supply chain; writing,Faridabad,0.8737,0,1,1,0,0,0,0,0,1,3
1119,Logistics; E-commerce,adobe xd; communication; inventory; marketplace ops; order management; presentation; writing,Ludhiana,0.6000,0,1,0,1,0,0,1,0,0,3
1120,Finance; Manufacturing; Healthcare,audit; cnc; gst; lesson planning; patient care,Ludhiana,0.8526,0,1,0,1,0,0,0,1,0,2
1121,Software; Manufacturing; IT; Railway,cnc; data structures; javascript; presentation; six sigma; sql; teamwork; writing,Gwalior,0.4526,1,0,0,0,1,0,0,1,0,1
1122,Software; Railway; Electrical; Manufacturing,cam; docker; lean; quality control,Kanpur,0.7060,1,1,0,1,0,0,0,0,1,1
1123,Banking; Finance,data analysis; presentation; time management; writing,New Delhi,0.6421,0,1,0,0,0,1,1,0,0,3
1124,Banking; E-commerce; Software,accounting; customer service; customer support; data structures; oop; teamwork,Gaya,0.9789,0,0,0,0,1,0,0,0,1,3
1125,Electrical; Manufacturing; Automotive,cad; lab techniques; problem solving; quality checks; soldering,Thiruvananthapuram,0.6780,0,1,0,0,1,0,0,1,0,3
1126,IT; Logistics; Banking; Electrical,accounting; java; javascript; presentation; routing; soil testing; sql; teamwork,Warangal,0.9740,0,1,0,0,0,1,1,0,0,3
1127,Telecom; Software; E-commerce; Banking,accounting; algorithms; customer service; matlab; problem solving; teamwork; troubleshooting,Surat,0.6580,0,1,0,0,1,0,1,0,0,1
1128,Manufacturing; Healthcare,biostatistics; excel; first aid; market research; problem solving; time management,Noida,0.7880,1,0,0,0,1,0,1,0,0,3
1129,E-commerce; Software; Railway; Finance,api design; customer support; data structures; lab safety; presentation,Gaya,0.3060,0,1,0,0,0,1,0,1,0,2
1130,IT; Software; Healthcare; E-commerce,html; java; order management; problem solving; testing; writing,New Delhi,0.7500,1,0,1,0,0,0,1,0,0,3
1131,Healthcare; Education,assessment; biostatistics; classroom management; communication; documentation; lab techniques; record keeping; teamwork,Jaipur,0.5240,0,1,0,0,0,1,0,0,1,1
1132,Manufacturing; Automotive,assembly; basic life support; lean; quality control; vehicle diagnostics,Ahmedabad,0.6000,0,0,0,0,1,0,0,1,0,3
1133,Automotive; Banking,assembly; cad; content writing; research; time management,Mangaluru,0.3080,0,1,1,0,0,0,0,0,1,3
1134,Telecom; IT; Education; Energy,classroom management; communication; css; lesson planning; python,Gaya,0.9789,0,1,1,0,0,0,0,1,0,3
1135,Education; Banking; Railway; Healthcare,audit; first aid; lab techniques; ms excel; teamwork; writing,Chandigarh,0.1920,1,1,0,1,0,0,0,1,0,0
1136,Software; Logistics; Telecom; Finance,algorithms; docker; financial modeling; ms excel; procurement; tally; warehouse ops,Chandigarh,0.3080,0,1,1,0,0,0,0,1,0,3
1137,Telecom; Healthcare,communication; data analysis; networking; rf planning; statistics,Indore,0.5789,1,1,1,0,0,0,0,0,1,3
1138,IT; E-commerce,case analysis; git; order management; problem solving; python; teamwork; time management,Gwalior,0.3684,0,1,1,0,0,0,0,0,1,3
1139,Energy; Electrical; Education,classroom management; embedded; lesson planning; operations; reporting; teaching; teamwork; time management,Mangaluru,0.6842,0,1,0,1,0,0,0,1,0,1
1140,Telecom; Manufacturing; Electrical; E-commerce,cam; cnc; customer support; embedded; lean; six sigma; teamwork,Hyderabad,0.8520,0,0,0,0,0,1,0,1,0,1
1141,Manufacturing; Software,algorithms; cam; data structures; oop; presentation; teamwork,Mumbai,0.8040,1,1,1,0,0,0,1,0,0,1
1142,Banking; E-commerce,audit; customer service; figma; presentation; problem solving,Udaipur,0.8120,1,0,1,0,0,0,0,1,0,1
1143,Education; Telecom; Software; E-commerce,adobe xd; docker; figma; lesson planning; ui principles,New Delhi,0.3820,0,1,0,0,1,0,0,1,0,1
1144,Energy; Education; Automotive; E-commerce,content creation; customer support; documentation; marketplace ops; power systems; teaching; writing,Hyderabad,0.5789,0,1,1,0,0,0,0,1,0,3
1145,Education; Logistics; Manufacturing; Electrical,autocad; cnc; embedded; ms excel; power systems; project management; warehouse ops,Mysuru,0.2632,1,1,0,1,0,0,0,0,1,3
1146,Telecom; Healthcare; Software; Railway,algorithms; communication; lab techniques; troubleshooting,Ahmedabad,0.2840,0,1,0,1,0,0,0,1,0,1
1147,IT; Electrical; Manufacturing; Energy,basic life support; cam; circuit analysis; lab safety; presentation,Faridabad,0.6211,0,1,0,0,0,1,0,0,1,1
1148,Finance; Automotive; Telecom,accounting; assembly; communication; excel; financial modeling; gst; supply chain; time management,Madurai,0.7260,0,1,0,1,0,0,0,0,1,3
1149,Electrical; Software; IT; Automotive,api design; communication; java; matlab; quality checks,New Delhi,0.3684,0,1,0,1,0,0,1,0,0,1
1150,Banking; Software; Telecom; Manufacturing,cad; communication; data structures; docker; lean,Bhopal,0.1100,0,1,0,1,0,0,0,0,1,2
1151,Energy; IT,documentation; git; linux; presentation; python; safety; writing,Noida,0.6000,0,0,1,0,0,0,1,0,0,1
1152,Telecom; Banking,accounting; audit; presentation; problem solving; rf planning; teamwork; writing,Warangal,0.1158,0,1,0,0,0,1,0,0,1,2
1153,Banking; Manufacturing; Telecom; Finance,financial modeling; lean; supply chain; ui principles,Ahmedabad,0.2280,0,1,0,0,1,0,0,1,0,3
1154,Education; Banking; Automotive; Telecom,cad; customer service; drafting; legal research; networking; rf planning; time management; troubleshooting,Lucknow,0.7420,0,0,0,1,0,0,0,0,1,3
1155,E-commerce; Automotive,assembly; cad; cataloging; customer support; marketplace ops; problem solving; teamwork; vehicle diagnostics,Warangal,0.3640,0,0,1,0,0,0,0,0,1,3
1156,Automotive; Electrical,operations; pcb design; quality checks; soldering; teamwork,Coimbatore,0.2120,1,1,0,0,0,1,0,0,1,3
1157,Software; Banking; Logistics,customer service; market research; ms excel; oop; routing; time management; writing,Chandigarh,0.3263,0,0,0,0,1,0,0,1,0,3
1158,Healthcare; Energy,biostatistics; maintenance; operations; pharmacology; power systems; problem solving; qc; safety,Cuttack,0.3740,0,0,1,0,0,0,0,0,1,3
1159,Manufacturing; Finance,cad; communication; lean; quality control,Jodhpur,0.6520,1,1,0,1,0,0,1,0,0,3
1160,Railway; Logistics; Banking,content writing; design basics; inventory; operations; safety; time management,Chennai,0.0737,1,0,0,0,1,0,1,0,0,3
1161,Automotive; Railway; Banking; Energy,cad; drafting; operations; power systems,Indore,0.5680,1,0,0,0,1,0,0,0,1,0
1162,Telecom; IT,linux; presentation; testing; writing,Kozhikode,0.2240,0,0,0,1,0,0,0,0,1,3
1163,Healthcare; Education,biostatistics; communication; content creation; lab techniques; teaching,Bhubaneswar,0.8180,0,1,0,0,0,1,1,0,0,1
1164,Railway; Manufacturing; Education,documentation; lesson planning; signal systems; six sigma; teaching,Thiruvananthapuram,0.9158,0,1,0,0,1,0,0,1,0,2
1165,Electrical; Telecom; Software,fiber splicing; rf planning; troubleshooting; ui principles,Cuttack,0.7540,0,0,0,0,1,0,1,0,0,3
1166,IT; Finance,css; html; javascript; project management; python; writing,Cuttack,0.6860,0,1,0,0,1,0,0,0,1,1
1167,Electrical; Energy; Education; E-commerce,adobe xd; classroom management; maintenance; operations; pcb design; soldering; teaching,New Delhi,0.3140,1,1,0,0,1,0,0,1,0,1
1168,Railway; Healthcare,communication; lab techniques; ms excel; presentation; problem solving; signal systems; teamwork; time management,Cuttack,0.5060,1,0,1,0,0,0,0,1,0,1
1169,Healthcare; Telecom; Software,accounting; algorithms; data structures; excel,Nagpur,0.7620,0,0,1,0,0,0,0,1,0,1
1170,Software; Healthcare,data structures; oop; record keeping; teamwork; writing,New Delhi,0.6211,0,0,0,0,0,1,0,1,0,1
1171,Telecom; Energy; IT; Software,autocad; fiber splicing; oop; time management,Gwalior,0.2600,0,0,1,0,0,0,1,0,0,3
1172,Automotive; Education; Electrical; Healthcare,classroom management; first aid; patient care; power systems; soldering; supply chain,Udaipur,0.7520,0,1,1,0,0,0,0,1,0,2
1173,Logistics; Energy,communication; operations; procurement; routing; soil testing; writing,Warangal,0.8280,1,1,0,0,0,1,0,0,1,1
1174,E-commerce; Logistics; Software,api design; customer support; data structures; field work; procurement; warehouse ops,Chandigarh,0.3895,0,0,0,0,0,1,1,0,0,1
1175,Logistics; Energy; E-commerce; Software,cataloging; documentation; ms excel; procurement; teamwork,Kolkata,0.5368,0,1,0,0,0,1,1,0,0,1
1176,Healthcare; Finance,accounting; audit; excel; record keeping,Mumbai,0.3684,1,0,0,0,1,0,0,0,1,2
1177,Software; Railway; Banking,documentation; oop; problem solving; safety; signal systems,Kanpur,0.4380,0,1,0,0,1,0,1,0,0,3
1178,Automotive; Telecom; Logistics,assembly; cad; content writing; inventory; problem solving; supply chain; teamwork,Hyderabad,0.4320,1,1,0,1,0,0,0,1,0,3
1179,Automotive; Manufacturing; Software,algorithms; communication; data structures; docker; presentation; teaching; time management,Patna,0.3580,0,0,0,0,0,1,0,1,0,2
1180,Education; IT; Energy; Telecom,assessment; html; power systems; presentation,Nagpur,0.0500,0,0,1,0,0,0,1,0,0,3
1181,Energy; Education; Finance,classroom management; content creation; content writing; problem solving,Siliguri,0.4060,0,1,0,1,0,0,0,0,1,1
1182,Railway; Electrical,embedded; maintenance; pcb design; power systems; presentation; writing,Hyderabad,0.7480,0,0,0,0,1,0,0,1,0,1
1183,E-commerce; Automotive; Railway; Software,algorithms; assembly; communication; customer support; data structures; order management; safety; time management,Warangal,0.4526,0,0,0,1,0,0,0,1,0,1
1184,IT; Education; Finance; Software,accounting; api design; css; java; linux; testing,Kolkata,0.2842,1,1,0,0,1,0,0,1,0,1
1185,Manufacturing; Healthcare; Finance,accounting; cam; excel; financial modeling; problem solving; six sigma; teaching,Bhopal,0.4737,0,0,0,0,1,0,0,0,1,0
1186,Railway; Healthcare; Logistics; E-commerce,first aid; lab safety; maintenance; presentation; problem solving; signal systems,Chandigarh,0.2000,0,1,0,0,1,0,0,0,1,1
1187,E-commerce; Railway; Banking,audit; cataloging; customer service; documentation; gmp; maintenance; safety; teamwork,Noida,0.2440,0,0,0,1,0,0,0,0,1,3
1188,E-commerce; Banking,assessment; customer support; lesson planning; time management; writing,Gwalior,0.6211,0,1,0,0,1,0,1,0,0,3
